2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '23671-企鹅号原创独家首发平台运营（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '21530-腾讯音乐企业传讯总监（深圳）', 'position': None, 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云高级文档开发经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': 'WXG09-332 微信支付高级品牌经理（深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-CII产品合规经理', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-CII产品合规经理', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-跨境安全经理/专家', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-跨境安全经理/专家', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-CII政策发展经理', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-跨境安全经理/专家', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '29050-CII政策发展经理', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': 'TB-投资运营经理（增值服务）', 'position': None, 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '30627-腾讯广告经营分析经理 （北京/深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '30627-腾讯广告SMB区域合作伙伴拓展经理(SPD)--南区', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-基础架构工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '28994-区块链底层开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '25663-Tencent cloud game solution architect (overseas)（日本/韩国）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '18796-专项技术测试(深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:39 [tencent.spiders.hr] WARNING: {'title': '19823-动画番剧制片人（北京）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'AQ-司法协作经理（深圳）', 'position': '职能类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '14914-媒体管理公关经理（北京）', 'position': None, 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25666-Tencent Cloud BD Manager – Gaming（Overseas - Japan/Korea）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25669-腾讯云社群运营经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25669-腾讯云课程运营经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'WXG01-119 微信PC客户端开发工程师 （深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'HY6-互娱内容营销方向市场推广经理（太原）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'CSIG17-测试开发高级工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '23295-互娱移动游戏渠道营销拓展渠道经理（深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '21229-Android资深研发工程师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '23295-互娱移动游戏渠道营销拓展渠道经理（深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '21229-Android资深研发工程师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '21229-ios资深研发工程师（上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'CSIG18-人工智能研究员（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '28603-113 微信支付高级技术架构工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '21227-移动游戏版本管理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '21882-腾讯医典产品运营组长（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '30628-广告平台高级产品经理（上海）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25666-Senior Cloud Solutions Manager', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25666-Senior Channel Sales Manager (Cloud)', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25666-Senior Channel Sales Manager (Cloud)', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '25666-Strategy & Marketing Manager', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '23295-互娱游戏品牌合作经理（深圳）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '22989-专有云中间件运维工程师（深圳/北京/上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '22989-专有云平台运维工程师（深圳/北京/上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '16810-动漫业务数据分析师', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': 'WXG01-117 微信移动客户端开发（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '18435-风控大数据建模工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '23671-企鹅号国际市场BD（北京）—版权内容方向', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:40 [tencent.spiders.hr] WARNING: {'title': '22989-物联网后台高级工程师（深圳/上海）', 'position': '技术类', 'publish_date': '2019-01-10'}
